activityID,activityName,locID,locName
1,Archery,1,archery range
2,Arts&Crafts,2,arts & crafts building room 1
3,Baseball,26,upper d
3,Baseball,15,lower d
4,Basketball,20,pooch
5,Batting Cage,5,batting cage
6,Boxing,6,buckingham
7,Ceramics,7,ceramics building
8,Climbing,9,glass tower
9,Fencing,22,shuffleboard
10,Film Studio,23,stu/library
10,Film Studio,10,graphic arts
10,Film Studio,19,office porch
11,Football,26,upper d
12,Frolf,29,frolf loc
13,Golf,15,lower d
14,Kickball,26,upper d
15,Lacrosse,26,upper d
16,Manual Arts,16,manual arts
17,Mountain Biking,30,mountain bike shed
18,Music Shack,18,music shack
19,Newspaper,13,lodge porch left
19,Newspaper,14,lodge porch right
20,Rocketry,21,rocketry
21,Soccer,26,upper d
21,Soccer,15,lower d
22,Street Hockey,11,hockey court
23,Tennis,25,upper courts
24,Theatre,24,theater
25,Ultimate,26,upper d
25,Ultimate,15,lower d
26,Volleyball,27,volleyball court
27,Waterskiing,31,waterski dock
28,Weight lifting,6,buckingham
29,Waterfront,28,waterfront
30,Driving Range,32,driving range
